source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",688.0,1
0,1,DFS,"[0, 1]",688.0,1
0,1,Dijkstra,"[0, 1]",688.0,1
0,1,A*,"[0, 1]",688.0,1
0,1,Bellman-Ford,"[0, 1]",688.0,1
0,2,BFS,"[0, 10, 2]",1211.0,2
0,2,DFS,"[0, 1, 8, 7, 2]",3027.0,4
0,2,Dijkstra,"[0, 10, 2]",1211.0,2
0,2,A*,"[0, 10, 2]",1211.0,2
0,2,Bellman-Ford,"[0, 10, 2]",1211.0,2
0,3,BFS,"[0, 3]",504.0,1
0,3,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3]",6103.0,9
0,3,Dijkstra,"[0, 3]",504.0,1
0,3,A*,"[0, 3]",504.0,1
0,3,Bellman-Ford,"[0, 3]",504.0,1
0,4,BFS,"[0, 14, 4]",1677.0,2
0,4,DFS,"[0, 1, 8, 7, 2, 4]",3565.0,5
0,4,Dijkstra,"[0, 14, 4]",1677.0,2
0,4,A*,"[0, 14, 4]",1677.0,2
0,4,Bellman-Ford,"[0, 14, 4]",1677.0,2
0,5,BFS,"[0, 14, 5]",1671.0,2
0,5,DFS,"[0, 1, 8, 7, 2, 4, 14, 5]",4747.0,7
0,5,Dijkstra,"[0, 14, 5]",1671.0,2
0,5,A*,"[0, 14, 5]",1671.0,2
0,5,Bellman-Ford,"[0, 14, 5]",1671.0,2
0,6,BFS,"[0, 10, 6]",970.0,2
0,6,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15, 18, 10, 6]",10260.0,14
0,6,Dijkstra,"[0, 10, 6]",970.0,2
0,6,A*,"[0, 10, 6]",970.0,2
0,6,Bellman-Ford,"[0, 10, 6]",970.0,2
0,7,BFS,"[0, 8, 7]",1312.0,2
0,7,DFS,"[0, 1, 8, 7]",1942.0,3
0,7,Dijkstra,"[0, 8, 7]",1312.0,2
0,7,A*,"[0, 8, 7]",1312.0,2
0,7,Bellman-Ford,"[0, 8, 7]",1312.0,2
0,8,BFS,"[0, 8]",776.0,1
0,8,DFS,"[0, 1, 8]",1406.0,2
0,8,Dijkstra,"[0, 8]",776.0,1
0,8,A*,"[0, 8]",776.0,1
0,8,Bellman-Ford,"[0, 8]",776.0,1
0,9,BFS,"[0, 3, 9]",1123.0,2
0,9,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9]",6722.0,10
0,9,Dijkstra,"[0, 10, 9]",685.0,2
0,9,A*,"[0, 10, 9]",685.0,2
0,9,Bellman-Ford,"[0, 10, 9]",685.0,2
0,10,BFS,"[0, 10]",186.0,1
0,10,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15, 18, 10]",9476.0,13
0,10,Dijkstra,"[0, 10]",186.0,1
0,10,A*,"[0, 10]",186.0,1
0,10,Bellman-Ford,"[0, 10]",186.0,1
0,11,BFS,"[0, 14, 11]",1963.0,2
0,11,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11]",5796.0,8
0,11,Dijkstra,"[0, 14, 11]",1963.0,2
0,11,A*,"[0, 14, 11]",1963.0,2
0,11,Bellman-Ford,"[0, 14, 11]",1963.0,2
0,12,BFS,"[0, 1, 12]",1624.0,2
0,12,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 12]",7645.0,11
0,12,Dijkstra,"[0, 3, 12]",1249.0,2
0,12,A*,"[0, 3, 12]",1249.0,2
0,12,Bellman-Ford,"[0, 3, 12]",1249.0,2
0,13,BFS,"[0, 13]",833.0,1
0,13,DFS,"[0, 1, 8, 7, 2, 4, 17, 13]",4725.0,7
0,13,Dijkstra,"[0, 13]",833.0,1
0,13,A*,"[0, 13]",833.0,1
0,13,Bellman-Ford,"[0, 13]",833.0,1
