source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 4, 1]",1278.0,2
0,1,DFS,"[0, 2, 5, 1]",353.0,3
0,1,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1]",-4965.0,12
0,1,A*,"[0, 22, 39, 27, 31, 9, 1]",-2442.0,6
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 2]",492.0,1
0,2,DFS,"[0, 2]",492.0,1
0,2,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3, 33, 45, 18, 44, 38, 19, 2]",-11308.0,38
0,2,A*,"[0, 39, 49, 20, 6, 14, 5, 38, 45, 28, 31, 2]",-2956.0,11
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 5, 3]",1511.0,2
0,3,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3]",3081.0,10
0,3,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3]",-11103.0,31
0,3,A*,"[0, 22, 39, 27, 31, 3]",-1894.0,5
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 4]",1092.0,1
0,4,DFS,"[0, 2, 5, 1, 4]",498.0,4
0,4,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3, 33, 45, 18, 44, 38, 4]",-11493.0,37
0,4,A*,"[0, 35, 44, 45, 28, 16, 7, 34, 4]",-1866.0,8
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 5]",980.0,1
0,5,DFS,"[0, 2, 5]",340.0,2
0,5,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3, 33, 45, 18, 44, 38, 19, 2, 5]",-11460.0,39
0,5,A*,"[0, 39, 27, 31, 3, 20, 6, 22, 5]",-3190.0,8
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 4, 6]",1544.0,2
0,6,DFS,"[0, 2, 5, 1, 4, 6]",950.0,5
0,6,Dijkstra,"[0, 30, 43, 47, 14, 20, 6]",-2215.0,6
0,6,A*,"[0, 39, 27, 31, 3, 20, 6]",-2344.0,6
0,6,Bellman-Ford,None,-inf,None
0,7,BFS,"[0, 7]",28.0,1
0,7,DFS,"[0, 2, 5, 1, 4, 6, 7]",2117.0,6
0,7,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7]",-6763.0,18
0,7,A*,"[0, 30, 23, 4, 38, 17, 13, 12, 43, 8, 10, 32, 31, 46, 7]",-4908.0,14
0,7,Bellman-Ford,None,-inf,None
0,8,BFS,"[0, 2, 8]",908.0,2
0,8,DFS,"[0, 2, 5, 1, 4, 6, 7, 8]",2769.0,7
0,8,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3, 33, 45, 18, 44, 38, 4, 8]",-11291.0,38
0,8,A*,"[0, 30, 23, 4, 8]",-836.0,4
0,8,Bellman-Ford,None,-inf,None
0,9,BFS,"[0, 9]",844.0,1
0,9,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9]",3771.0,12
0,9,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9]",-4479.0,11
0,9,A*,"[0, 30, 43, 27, 31, 9]",-1977.0,5
0,9,Bellman-Ford,None,-inf,None
0,10,BFS,"[0, 4, 10]",1694.0,2
0,10,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10]",2439.0,8
0,10,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10]",-9301.0,24
0,10,A*,"[0, 30, 43, 8, 10]",-1445.0,4
0,10,Bellman-Ford,None,-inf,None
0,11,BFS,"[0, 2, 11]",1502.0,2
0,11,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11]",3265.0,9
0,11,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3, 33, 45, 18, 44, 38, 19, 2, 5, 15, 11]",-10606.0,41
0,11,A*,"[0, 22, 39, 27, 31, 3, 30, 43, 15, 1, 6, 28, 11]",-3370.0,12
0,11,Bellman-Ford,None,-inf,None
0,12,BFS,"[0, 12]",-66.0,1
0,12,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12]",3369.0,11
0,12,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12]",-10841.0,29
0,12,A*,"[0, 30, 43, 8, 24, 17, 21, 10, 32, 31, 9, 36, 41, 12]",-4968.0,13
0,12,Bellman-Ford,None,-inf,None
0,13,BFS,"[0, 2, 13]",1982.0,2
0,13,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9, 14, 15, 18, 17, 13]",6668.0,17
0,13,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13]",-10463.0,28
0,13,A*,"[0, 30, 23, 4, 38, 17, 13]",-2132.0,6
0,13,Bellman-Ford,None,-inf,None
0,14,BFS,"[0, 14]",149.0,1
0,14,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9, 14]",4685.0,13
0,14,Dijkstra,"[0, 30, 43, 47, 14]",-1408.0,4
0,14,A*,"[0, 28, 16, 37, 47, 14]",-1131.0,5
0,14,Bellman-Ford,None,-inf,None
0,15,BFS,"[0, 15]",1100.0,1
0,15,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9, 14, 15]",5976.0,14
0,15,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3, 33, 45, 18, 44, 38, 19, 2, 5, 15]",-11214.0,40
0,15,A*,"[0, 22, 39, 27, 31, 3, 20, 6, 15]",-2924.0,8
0,15,Bellman-Ford,None,-inf,None
0,16,BFS,"[0, 16]",867.0,1
0,16,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9, 14, 15, 18, 17, 13, 16]",6525.0,18
0,16,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16]",-6325.0,17
0,16,A*,"[0, 35, 48, 17, 21, 7, 34, 40, 28, 16]",-3028.0,9
0,16,Bellman-Ford,None,-inf,None
0,17,BFS,"[0, 7, 17]",779.0,2
0,17,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9, 14, 15, 18, 17]",7121.0,16
0,17,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17]",-8137.0,22
0,17,A*,"[0, 30, 23, 4, 38, 17]",-1679.0,5
0,17,Bellman-Ford,None,-inf,None
0,18,BFS,"[0, 2, 18]",1677.0,2
0,18,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9, 14, 15, 18]",6123.0,15
0,18,Dijkstra,"[0, 30, 43, 47, 14, 20, 6, 22, 39, 27, 31, 9, 1, 26, 41, 40, 28, 16, 7, 34, 35, 48, 17, 21, 10, 32, 42, 25, 13, 12, 24, 3, 33, 45, 18]",-10736.0,34
0,18,A*,"[0, 35, 44, 45, 18]",-880.0,4
0,18,Bellman-Ford,None,-inf,None
0,19,BFS,"[0, 5, 19]",1912.0,2
0,19,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9, 14, 15, 18, 17, 13, 16, 21, 20, 22, 19]",8725.0,22
