source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",1027.0,1
0,1,DFS,"[0, 1]",1027.0,1
0,1,Dijkstra,"[0, 26, 79, 92, 71, 50, 9, 52, 98, 3, 89, 58, 1]",-6413.0,12
0,1,A*,"[0, 26, 79, 92, 71, 50, 9, 52, 1]",-4302.0,8
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 2]",867.0,1
0,2,DFS,"[0, 1, 2]",1898.0,2
0,2,Dijkstra,"[0, 26, 79, 92, 71, 50, 9, 52, 98, 3, 89, 58, 1, 75, 15, 6, 11, 22, 20, 27, 39, 88, 78, 14, 19, 96, 49, 2]",-14202.0,27
0,2,A*,"[0, 38, 78, 14, 19, 96, 49, 2]",-3957.0,7
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 3]",-222.0,1
0,3,DFS,"[0, 1, 2, 3]",1968.0,3
0,3,Dijkstra,"[0, 26, 79, 92, 71, 50, 9, 52, 98, 3]",-4987.0,9
0,3,A*,"[0, 26, 79, 92, 71, 50, 27, 39, 90, 75, 22, 58, 3]",-6322.0,12
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 4]",-132.0,1
0,4,DFS,"[0, 1, 2, 3, 4]",2717.0,4
0,4,Dijkstra,"[0, 26, 79, 92, 71, 50, 9, 52, 98, 3, 89, 58, 1, 75, 15, 6, 11, 22, 20, 27, 39, 88, 78, 14, 19, 96, 49, 2, 54, 38, 18, 4]",-16195.0,31
0,4,A*,"[0, 4]",-132.0,1
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 5]",200.0,1
0,5,DFS,"[0, 1, 2, 3, 4, 5]",3703.0,5
0,5,Dijkstra,"[0, 26, 79, 92, 71, 50, 9, 52, 98, 3, 89, 58, 1, 75, 15, 6, 11, 22, 20, 27, 39, 88, 78, 14, 19, 96, 49, 2, 54, 38, 18, 4, 34, 44, 35, 64, 47, 65, 45, 77, 28, 70, 59, 91, 40, 21, 33, 94, 41, 36, 13, 67, 87, 42, 29, 37, 61, 97, 81, 48, 63, 7, 17, 93, 55, 8, 53, 16, 25, 73, 66, 46, 86, 51, 84, 32, 62, 10, 43, 72, 99, 76, 56, 85, 57, 60, 83, 24, 30, 31, 5]",-42037.0,90
0,5,A*,"[0, 26, 79, 5]",-1581.0,3
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 6]",-184.0,1
0,6,DFS,"[0, 1, 2, 3, 4, 5, 7, 6]",5481.0,7
0,6,Dijkstra,"[0, 26, 79, 92, 71, 50, 9, 52, 98, 3, 89, 58, 1, 75, 15, 6]",-7867.0,15
