source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 2, 1]",2350.0,2
0,1,DFS,"[0, 2, 1]",2350.0,2
0,1,Dijkstra,"[0, 58, 1]",-919.0,2
0,1,A*,"[0, 58, 1]",-919.0,2
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 2]",867.0,1
0,2,DFS,"[0, 2]",867.0,1
0,2,Dijkstra,"[0, 58, 1, 9, 52, 50, 26, 79, 92, 72, 33, 93, 55, 8, 53, 70, 7, 16, 44, 78, 14, 19, 96, 54, 49, 86, 51, 84, 64, 47, 35, 4, 46, 37, 61, 63, 29, 25, 42, 18, 34, 97, 24, 30, 60, 83, 32, 38, 88, 3, 22, 20, 98, 15, 31, 5, 65, 6, 71, 91, 28, 17, 74, 48, 59, 27, 39, 90, 75, 89, 95, 69, 21, 40, 56, 99, 73, 77, 85, 57, 80, 2]",-33152.0,81
0,2,A*,"[0, 38, 78, 14, 19, 96, 54, 49, 86, 2]",-4662.0,9
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 3]",-222.0,1
0,3,DFS,"[0, 2, 1, 7, 3]",3814.0,4
0,3,Dijkstra,"[0, 58, 1, 9, 52, 50, 26, 79, 92, 72, 33, 93, 55, 8, 53, 70, 7, 16, 44, 78, 14, 19, 96, 54, 49, 86, 51, 84, 64, 47, 35, 4, 46, 37, 61, 63, 29, 25, 42, 18, 34, 97, 24, 30, 60, 83, 32, 38, 88, 3]",-21762.0,49
0,3,A*,"[0, 58, 3]",-895.0,2
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 2, 4]",2189.0,2
0,4,DFS,"[0, 2, 1, 7, 3, 8, 5, 4]",5455.0,7
0,4,Dijkstra,"[0, 58, 1, 9, 52, 50, 26, 79, 92, 72, 33, 93, 55, 8, 53, 70, 7, 16, 44, 78, 14, 19, 96, 54, 49, 86, 51, 84, 64, 47, 35, 4]",-15115.0,31
0,4,A*,"[0, 38, 18, 4]",-1243.0,3
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 2, 5]",1755.0,2
0,5,DFS,"[0, 2, 1, 7, 3, 8, 5]",5267.0,6
0,5,Dijkstra,"[0, 58, 1, 9, 52, 50, 26, 79, 92, 72, 33, 93, 55, 8, 53, 70, 7, 16, 44, 78, 14, 19, 96, 54, 49, 86, 51, 84, 64, 47, 35, 4, 46, 37, 61, 63, 29, 25, 42, 18, 34, 97, 24, 30, 60, 83, 32, 38, 88, 3, 22, 20, 98, 15, 31, 5]",-24455.0,55
0,5,A*,"[0, 39, 5]",-631.0,2
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 11, 6]",1115.0,2
0,6,DFS,"[0, 2, 1, 7, 3, 8, 5, 4, 6]",6678.0,8
0,6,Dijkstra,"[0, 58, 1, 9, 52, 50, 26, 79, 92, 72, 33, 93, 55, 8, 53, 70, 7, 16, 44, 78, 14, 19, 96, 54, 49, 86, 51, 84, 64, 47, 35, 4, 46, 37, 61, 63, 29, 25, 42, 18, 34, 97, 24, 30, 60, 83, 32, 38, 88, 3, 22, 20, 98, 15, 31, 5, 65, 6]",-25089.0,57
0,6,A*,"[0, 58, 3, 22, 92, 39, 5, 31, 20, 98, 27, 52, 50, 26, 79, 6]",-7290.0,15
0,6,Bellman-Ford,None,-inf,None
0,7,BFS,"[0, 7]",677.0,1
0,7,DFS,"[0, 2, 1, 7]",3201.0,3
0,7,Dijkstra,"[0, 58, 1, 9, 52, 50, 26, 79, 92, 72, 33, 93, 55, 8, 53, 70, 7]",-7737.0,16
0,7,A*,"[0, 17, 93, 55, 8, 53, 70, 72, 33, 48, 63, 7]",-5062.0,11
0,7,Bellman-Ford,None,-inf,None
0,8,BFS,"[0, 8]",-171.0,1
0,8,DFS,"[0, 2, 1, 7, 3, 8]",4556.0,5
0,8,Dijkstra,"[0, 58, 1, 9, 52, 50, 26, 79, 92, 72, 33, 93, 55, 8]",-6582.0,13
0,8,A*,"[0, 69, 21, 93, 55, 8]",-2515.0,5
0,8,Bellman-Ford,None,-inf,None
0,9,BFS,"[0, 9]",210.0,1
0,9,DFS,"[0, 2, 1, 7, 3, 8, 5, 4, 6, 10, 9]",6522.0,10
