source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",339.0,1
0,1,DFS,"[0, 1]",339.0,1
0,1,Dijkstra,"[0, 1]",339.0,1
0,1,A*,"[0, 1]",339.0,1
0,1,Bellman-Ford,"[0, 1]",339.0,1
0,2,BFS,"[0, 10, 2]",882.0,2
0,2,DFS,"[0, 1, 8, 7, 2]",2011.0,4
0,2,Dijkstra,"[0, 10, 2]",882.0,2
0,2,A*,"[0, 10, 2]",882.0,2
0,2,Bellman-Ford,"[0, 10, 2]",882.0,2
0,3,BFS,"[0, 3]",310.0,1
0,3,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3]",3895.0,9
0,3,Dijkstra,"[0, 3]",310.0,1
0,3,A*,"[0, 3]",310.0,1
0,3,Bellman-Ford,"[0, 3]",310.0,1
0,4,BFS,"[0, 14, 4]",1011.0,2
0,4,DFS,"[0, 1, 8, 7, 2, 4]",2442.0,5
0,4,Dijkstra,"[0, 14, 4]",1011.0,2
0,4,A*,"[0, 14, 4]",1011.0,2
0,4,Bellman-Ford,"[0, 14, 4]",1011.0,2
0,5,BFS,"[0, 14, 5]",1064.0,2
0,5,DFS,"[0, 1, 8, 7, 2, 4, 14, 5]",3051.0,7
0,5,Dijkstra,"[0, 14, 5]",1064.0,2
0,5,A*,"[0, 14, 5]",1064.0,2
0,5,Bellman-Ford,"[0, 14, 5]",1064.0,2
0,6,BFS,"[0, 10, 6]",529.0,2
0,6,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15, 18, 10, 6]",6513.0,14
0,6,Dijkstra,"[0, 10, 6]",529.0,2
0,6,A*,"[0, 10, 6]",529.0,2
0,6,Bellman-Ford,"[0, 10, 6]",529.0,2
0,7,BFS,"[0, 8, 7]",704.0,2
0,7,DFS,"[0, 1, 8, 7]",1181.0,3
0,7,Dijkstra,"[0, 8, 7]",704.0,2
0,7,A*,"[0, 8, 7]",704.0,2
0,7,Bellman-Ford,"[0, 8, 7]",704.0,2
0,8,BFS,"[0, 8]",471.0,1
0,8,DFS,"[0, 1, 8]",948.0,2
0,8,Dijkstra,"[0, 8]",471.0,1
0,8,A*,"[0, 8]",471.0,1
0,8,Bellman-Ford,"[0, 8]",471.0,1
0,9,BFS,"[0, 3, 9]",559.0,2
0,9,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9]",4144.0,10
0,9,Dijkstra,"[0, 10, 9]",297.0,2
0,9,A*,"[0, 10, 9]",297.0,2
0,9,Bellman-Ford,"[0, 10, 9]",297.0,2
0,10,BFS,"[0, 10]",26.0,1
0,10,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15, 18, 10]",6010.0,13
0,10,Dijkstra,"[0, 10]",26.0,1
0,10,A*,"[0, 10]",26.0,1
0,10,Bellman-Ford,"[0, 10]",26.0,1
0,11,BFS,"[0, 14, 11]",1490.0,2
0,11,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11]",3731.0,8
0,11,Dijkstra,"[0, 14, 11]",1490.0,2
0,11,A*,"[0, 14, 11]",1490.0,2
0,11,Bellman-Ford,"[0, 14, 11]",1490.0,2
0,12,BFS,"[0, 1, 12]",919.0,2
0,12,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 12]",4677.0,11
0,12,Dijkstra,"[0, 10, 9, 12]",830.0,3
0,12,A*,"[0, 10, 9, 12]",830.0,3
0,12,Bellman-Ford,"[0, 10, 9, 12]",830.0,3
0,13,BFS,"[0, 13]",533.0,1
0,13,DFS,"[0, 1, 8, 7, 2, 4, 17, 13]",3051.0,7
0,13,Dijkstra,"[0, 13]",533.0,1
0,13,A*,"[0, 13]",533.0,1
0,13,Bellman-Ford,"[0, 13]",533.0,1
0,14,BFS,"[0, 14]",707.0,1
0,14,DFS,"[0, 1, 8, 7, 2, 4, 14]",2694.0,6
0,14,Dijkstra,"[0, 14]",707.0,1
0,14,A*,"[0, 14]",707.0,1
0,14,Bellman-Ford,"[0, 14]",707.0,1
0,15,BFS,"[0, 15]",586.0,1
0,15,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15]",4551.0,11
0,15,Dijkstra,"[0, 3, 15]",564.0,2
0,15,A*,"[0, 3, 15]",564.0,2
0,15,Bellman-Ford,"[0, 3, 15]",564.0,2
0,16,BFS,"[0, 13, 17, 16]",1012.0,3
0,16,DFS,"[0, 1, 8, 7, 2, 4, 17, 16]",3164.0,7
0,16,Dijkstra,"[0, 13, 17, 16]",1012.0,3
0,16,A*,"[0, 13, 17, 16]",1012.0,3
0,16,Bellman-Ford,"[0, 13, 17, 16]",1012.0,3
