source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 10, 1]",688.0,2
0,1,DFS,"[0, 10, 1]",688.0,2
0,1,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7, 93, 62, 34, 85, 19, 96, 54, 49, 86, 2, 57, 80, 51, 84, 5, 31, 60, 79, 6, 98, 27, 28, 32, 9, 1]",-6523.0,49
0,1,A*,"[0, 89, 58, 3, 79, 6, 98, 27, 9, 1]",-1013.0,9
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 12, 2]",1451.0,2
0,2,DFS,"[0, 10, 1, 7, 5, 2]",2247.0,5
0,2,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7, 93, 62, 34, 85, 19, 96, 54, 49, 86, 2]",-5032.0,34
0,2,A*,"[0, 89, 49, 86, 2]",-195.0,4
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 10, 3]",922.0,2
0,3,DFS,"[0, 10, 1, 7, 5, 2, 11, 8, 18, 4, 13, 21, 12, 3]",5358.0,13
0,3,Dijkstra,"[0, 89, 58, 3]",-478.0,3
0,3,A*,"[0, 89, 58, 3]",-478.0,3
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 10, 4]",444.0,2
0,4,DFS,"[0, 10, 1, 7, 5, 2, 11, 8, 18, 4]",3531.0,9
0,4,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4]",-1459.0,10
0,4,A*,"[0, 17, 46, 44, 78, 14, 4]",-509.0,6
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 10, 5]",520.0,2
0,5,DFS,"[0, 10, 1, 7, 5]",2311.0,4
0,5,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7, 93, 62, 34, 85, 19, 96, 54, 49, 86, 2, 57, 80, 51, 84, 5]",-5261.0,39
0,5,A*,"[0, 89, 58, 3, 15, 20, 32, 9, 60, 79, 6, 98, 27, 28, 96, 54, 49, 86, 2, 57, 78, 14, 5]",-3274.0,22
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 10, 32, 6]",495.0,3
0,6,DFS,"[0, 10, 1, 7, 5, 2, 11, 8, 18, 4, 13, 21, 12, 3, 15, 20, 9, 16, 27, 14, 17, 24, 34, 6]",8081.0,23
0,6,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7, 93, 62, 34, 85, 19, 96, 54, 49, 86, 2, 57, 80, 51, 84, 5, 31, 60, 79, 6]",-5918.0,43
0,6,A*,"[0, 89, 58, 3, 79, 6]",-740.0,5
0,6,Bellman-Ford,None,-inf,None
0,7,BFS,"[0, 46, 7]",685.0,2
0,7,DFS,"[0, 10, 1, 7]",1455.0,3
0,7,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7]",-3346.0,24
0,7,A*,"[0, 17, 74, 7]",-367.0,3
0,7,Bellman-Ford,None,-inf,None
0,8,BFS,"[0, 78, 8]",1910.0,2
0,8,DFS,"[0, 10, 1, 7, 5, 2, 11, 8]",3758.0,7
0,8,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7, 93, 62, 34, 85, 19, 96, 54, 49, 86, 2, 57, 80, 51, 84, 5, 31, 60, 79, 6, 98, 27, 28, 32, 9, 50, 59, 47, 61, 76, 97, 18, 23, 56, 8]",-6757.0,58
0,8,A*,"[0, 17, 74, 7, 93, 53, 10, 24, 12, 55, 21, 72, 66, 94, 43, 58, 32, 9, 60, 79, 6, 98, 27, 22, 23, 48, 63, 29, 25, 97, 37, 44, 78, 14, 4, 70, 47, 61, 76, 62, 34, 85, 19, 18, 87, 8]",-4769.0,45
0,8,Bellman-Ford,None,-inf,None
0,9,BFS,"[0, 10, 9]",484.0,2
0,9,DFS,"[0, 10, 1, 7, 5, 2, 11, 8, 18, 4, 13, 21, 12, 3, 15, 20, 9]",5116.0,16
0,9,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7, 93, 62, 34, 85, 19, 96, 54, 49, 86, 2, 57, 80, 51, 84, 5, 31, 60, 79, 6, 98, 27, 28, 32, 9]",-6432.0,48
0,9,A*,"[0, 89, 58, 3, 79, 6, 98, 9]",-834.0,7
0,9,Bellman-Ford,None,-inf,None
0,10,BFS,"[0, 10]",280.0,1
0,10,DFS,"[0, 10]",280.0,1
0,10,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10]",-2423.0,17
0,10,A*,"[0, 12, 43, 94, 33, 17, 74, 7, 93, 53, 10]",-1281.0,10
0,10,Bellman-Ford,None,-inf,None
0,11,BFS,"[0, 12, 11]",1144.0,2
0,11,DFS,"[0, 10, 1, 7, 5, 2, 11]",3278.0,6
0,11,Dijkstra,"[0, 89, 58, 3, 15, 20, 65, 44, 78, 14, 4, 35, 48, 63, 29, 25, 53, 10, 30, 43, 94, 33, 17, 74, 7, 93, 62, 34, 85, 19, 96, 54, 49, 86, 2, 57, 80, 51, 84, 5, 31, 60, 79, 6, 98, 27, 28, 32, 9, 50, 59, 47, 61, 76, 97, 18, 23, 56, 72, 16, 70, 91, 55, 21, 12, 92, 11]",-6509.0,66
0,11,A*,"[0, 89, 58, 3, 15, 11]",-502.0,5
0,11,Bellman-Ford,None,-inf,None
0,12,BFS,"[0, 12]",-56.0,1
0,12,DFS,"[0, 10, 1, 7, 5, 2, 11, 8, 18, 4, 13, 21, 12]",4956.0,12
