source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 4, 1]",1509.0,2
0,1,DFS,"[0, 2, 5, 1]",1753.0,3
0,1,Dijkstra,"[0, 9, 1]",378.0,2
0,1,A*,"[0, 9, 1]",378.0,2
0,1,Bellman-Ford,"[0, 9, 1]",378.0,2
0,2,BFS,"[0, 2]",893.0,1
0,2,DFS,"[0, 2]",893.0,1
0,2,Dijkstra,"[0, 2]",893.0,1
0,2,A*,"[0, 2]",893.0,1
0,2,Bellman-Ford,"[0, 2]",893.0,1
0,3,BFS,"[0, 5, 3]",1177.0,2
0,3,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3]",5463.0,10
0,3,Dijkstra,"[0, 30, 3]",537.0,2
0,3,A*,"[0, 30, 3]",537.0,2
0,3,Bellman-Ford,"[0, 30, 3]",537.0,2
0,4,BFS,"[0, 4]",724.0,1
0,4,DFS,"[0, 2, 5, 1, 4]",2535.0,4
0,4,Dijkstra,"[0, 4]",724.0,1
0,4,A*,"[0, 4]",724.0,1
0,4,Bellman-Ford,"[0, 4]",724.0,1
0,5,BFS,"[0, 5]",705.0,1
0,5,DFS,"[0, 2, 5]",1197.0,2
0,5,Dijkstra,"[0, 30, 5]",699.0,2
0,5,A*,"[0, 30, 5]",699.0,2
0,5,Bellman-Ford,"[0, 30, 5]",699.0,2
0,6,BFS,"[0, 4, 6]",1399.0,2
0,6,DFS,"[0, 2, 5, 1, 4, 6]",3210.0,5
0,6,Dijkstra,"[0, 30, 32, 6]",559.0,3
0,6,A*,"[0, 30, 32, 6]",559.0,3
0,6,Bellman-Ford,"[0, 30, 32, 6]",559.0,3
0,7,BFS,"[0, 7]",420.0,1
0,7,DFS,"[0, 2, 5, 1, 4, 6, 7]",3922.0,6
0,7,Dijkstra,"[0, 7]",420.0,1
0,7,A*,"[0, 7]",420.0,1
0,7,Bellman-Ford,"[0, 7]",420.0,1
0,8,BFS,"[0, 2, 8]",1927.0,2
0,8,DFS,"[0, 2, 5, 1, 4, 6, 7, 8]",4198.0,7
0,8,Dijkstra,"[0, 12, 8]",578.0,2
0,8,A*,"[0, 12, 8]",578.0,2
0,8,Bellman-Ford,"[0, 12, 8]",578.0,2
0,9,BFS,"[0, 9]",290.0,1
0,9,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12, 9]",6573.0,12
0,9,Dijkstra,"[0, 9]",290.0,1
0,9,A*,"[0, 9]",290.0,1
0,9,Bellman-Ford,"[0, 9]",290.0,1
0,10,BFS,"[0, 4, 10]",1409.0,2
0,10,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10]",4560.0,8
0,10,Dijkstra,"[0, 30, 10]",299.0,2
0,10,A*,"[0, 30, 10]",299.0,2
0,10,Bellman-Ford,"[0, 30, 10]",299.0,2
0,11,BFS,"[0, 2, 11]",1832.0,2
0,11,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11]",5204.0,9
0,11,Dijkstra,"[0, 9, 11]",612.0,2
0,11,A*,"[0, 9, 11]",612.0,2
0,11,Bellman-Ford,"[0, 9, 11]",612.0,2
0,12,BFS,"[0, 12]",275.0,1
0,12,DFS,"[0, 2, 5, 1, 4, 6, 7, 8, 10, 11, 3, 12]",6086.0,11
