source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",605.0,1
0,1,DFS,"[0, 1]",605.0,1
0,1,Dijkstra,"[0, 1]",605.0,1
0,1,A*,"[0, 1]",605.0,1
0,1,Bellman-Ford,"[0, 1]",605.0,1
0,2,BFS,"[0, 10, 2]",428.0,2
0,2,DFS,"[0, 1, 8, 7, 2]",2059.0,4
0,2,Dijkstra,"[0, 10, 2]",428.0,2
0,2,A*,"[0, 10, 2]",428.0,2
0,2,Bellman-Ford,"[0, 10, 2]",428.0,2
0,3,BFS,"[0, 3]",160.0,1
0,3,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3]",3788.0,9
0,3,Dijkstra,"[0, 3]",160.0,1
0,3,A*,"[0, 3]",160.0,1
0,3,Bellman-Ford,"[0, 3]",160.0,1
0,4,BFS,"[0, 14, 4]",1454.0,2
0,4,DFS,"[0, 1, 8, 7, 2, 4]",2108.0,5
0,4,Dijkstra,"[0, 10, 2, 4]",477.0,3
0,4,A*,"[0, 10, 2, 4]",477.0,3
0,4,Bellman-Ford,"[0, 10, 2, 4]",477.0,3
0,5,BFS,"[0, 14, 5]",1350.0,2
0,5,DFS,"[0, 1, 8, 7, 2, 4, 14, 5]",2912.0,7
0,5,Dijkstra,"[0, 10, 2, 4, 18, 14, 5]",1002.0,6
0,5,A*,"[0, 10, 2, 4, 14, 5]",1281.0,5
0,5,Bellman-Ford,"[0, 10, 2, 4, 18, 14, 5]",1002.0,6
0,6,BFS,"[0, 10, 6]",371.0,2
0,6,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15, 18, 10, 6]",7178.0,14
0,6,Dijkstra,"[0, 10, 6]",371.0,2
0,6,A*,"[0, 10, 6]",371.0,2
0,6,Bellman-Ford,"[0, 10, 6]",371.0,2
0,7,BFS,"[0, 8, 7]",992.0,2
0,7,DFS,"[0, 1, 8, 7]",1214.0,3
0,7,Dijkstra,"[0, 10, 9, 7]",611.0,3
0,7,A*,"[0, 10, 9, 7]",611.0,3
0,7,Bellman-Ford,"[0, 10, 9, 7]",611.0,3
0,8,BFS,"[0, 8]",617.0,1
0,8,DFS,"[0, 1, 8]",839.0,2
0,8,Dijkstra,"[0, 8]",617.0,1
0,8,A*,"[0, 8]",617.0,1
0,8,Bellman-Ford,"[0, 8]",617.0,1
0,9,BFS,"[0, 3, 9]",731.0,2
0,9,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9]",4359.0,10
0,9,Dijkstra,"[0, 10, 9]",-2.0,2
0,9,A*,"[0, 10, 9]",-2.0,2
0,9,Bellman-Ford,"[0, 10, 9]",-2.0,2
0,10,BFS,"[0, 10]",-214.0,1
0,10,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15, 18, 10]",6593.0,13
0,10,Dijkstra,"[0, 10]",-214.0,1
0,10,A*,"[0, 10]",-214.0,1
0,10,Bellman-Ford,"[0, 10]",-214.0,1
0,11,BFS,"[0, 14, 11]",1416.0,2
0,11,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11]",3909.0,8
0,11,Dijkstra,"[0, 10, 2, 4, 18, 14, 11]",1068.0,6
0,11,A*,"[0, 10, 2, 4, 14, 11]",1347.0,5
0,11,Bellman-Ford,"[0, 10, 2, 4, 18, 14, 11]",1068.0,6
0,12,BFS,"[0, 1, 12]",1467.0,2
0,12,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 12]",5265.0,11
0,12,Dijkstra,"[0, 3, 12]",558.0,2
0,12,A*,"[0, 3, 12]",558.0,2
0,12,Bellman-Ford,"[0, 3, 12]",558.0,2
0,13,BFS,"[0, 13]",665.0,1
0,13,DFS,"[0, 1, 8, 7, 2, 4, 17, 13]",2852.0,7
0,13,Dijkstra,"[0, 13]",665.0,1
0,13,A*,"[0, 13]",665.0,1
0,13,Bellman-Ford,"[0, 13]",665.0,1
0,14,BFS,"[0, 14]",871.0,1
0,14,DFS,"[0, 1, 8, 7, 2, 4, 14]",2433.0,6
0,14,Dijkstra,"[0, 10, 2, 4, 18, 14]",523.0,5
0,14,A*,"[0, 10, 2, 4, 14]",802.0,4
0,14,Bellman-Ford,"[0, 10, 2, 4, 18, 14]",523.0,5
0,15,BFS,"[0, 15]",810.0,1
0,15,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15]",5009.0,11
0,15,Dijkstra,"[0, 10, 9, 15]",648.0,3
0,15,A*,"[0, 10, 9, 15]",648.0,3
0,15,Bellman-Ford,"[0, 10, 9, 15]",648.0,3
0,16,BFS,"[0, 13, 17, 16]",1553.0,3
0,16,DFS,"[0, 1, 8, 7, 2, 4, 17, 16]",3077.0,7
0,16,Dijkstra,"[0, 10, 2, 4, 17, 16]",1446.0,5
0,16,A*,"[0, 10, 2, 4, 17, 16]",1446.0,5
0,16,Bellman-Ford,"[0, 10, 2, 4, 17, 16]",1446.0,5
0,17,BFS,"[0, 13, 17]",996.0,2
0,17,DFS,"[0, 1, 8, 7, 2, 4, 17]",2520.0,6
0,17,Dijkstra,"[0, 10, 2, 4, 17]",889.0,4
0,17,A*,"[0, 13, 17]",996.0,2
0,17,Bellman-Ford,"[0, 10, 2, 4, 17]",889.0,4
0,18,BFS,"[0, 3, 18]",795.0,2
0,18,DFS,"[0, 1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 15, 18]",5788.0,12
0,18,Dijkstra,"[0, 10, 2, 4, 18]",785.0,4
0,18,A*,"[0, 3, 18]",795.0,2
0,18,Bellman-Ford,"[0, 10, 2, 4, 18]",785.0,4
0,19,BFS,"[0, 8, 19]",1203.0,2
0,19,DFS,"[0, 1, 8, 19]",1425.0,3
0,19,Dijkstra,"[0, 8, 19]",1203.0,2
0,19,A*,"[0, 8, 19]",1203.0,2
0,19,Bellman-Ford,"[0, 8, 19]",1203.0,2
1,2,BFS,"[1, 12, 2]",1637.0,2
1,2,DFS,"[1, 8, 7, 2]",1454.0,3
1,2,Dijkstra,"[1, 8, 7, 14, 2]",929.0,4
1,2,A*,"[1, 8, 7, 14, 2]",929.0,4
1,2,Bellman-Ford,"[1, 8, 7, 14, 2]",929.0,4
1,3,BFS,"[1, 12, 0, 3]",810.0,3
1,3,DFS,"[1, 8, 7, 2, 4, 14, 5, 11, 3]",3183.0,8
1,3,Dijkstra,"[1, 12, 0, 3]",810.0,3
1,3,A*,"[1, 12, 0, 3]",810.0,3
1,3,Bellman-Ford,"[1, 12, 0, 3]",810.0,3
1,4,BFS,"[1, 8, 18, 4]",1775.0,3
1,4,DFS,"[1, 8, 7, 2, 4]",1503.0,4
1,4,Dijkstra,"[1, 8, 7, 14, 2, 4]",978.0,5
1,4,A*,"[1, 8, 7, 14, 4]",1385.0,4
1,4,Bellman-Ford,"[1, 8, 7, 14, 2, 4]",978.0,5
1,5,BFS,"[1, 8, 18, 5]",2144.0,3
1,5,DFS,"[1, 8, 7, 2, 4, 14, 5]",2307.0,6
1,5,Dijkstra,"[1, 8, 7, 14, 5]",1281.0,4
1,5,A*,"[1, 8, 7, 14, 5]",1281.0,4
1,5,Bellman-Ford,"[1, 8, 7, 14, 5]",1281.0,4
1,6,BFS,"[1, 8, 7, 6]",1111.0,3
1,6,DFS,"[1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 12, 0, 10, 6]",4819.0,13
1,6,Dijkstra,"[1, 12, 0, 10, 6]",1021.0,4
1,6,A*,"[1, 8, 7, 6]",1111.0,3
1,6,Bellman-Ford,"[1, 12, 0, 10, 6]",1021.0,4
1,7,BFS,"[1, 8, 7]",609.0,2
1,7,DFS,"[1, 8, 7]",609.0,2
1,7,Dijkstra,"[1, 8, 7]",609.0,2
1,7,A*,"[1, 8, 7]",609.0,2
1,7,Bellman-Ford,"[1, 8, 7]",609.0,2
1,8,BFS,"[1, 8]",234.0,1
1,8,DFS,"[1, 8]",234.0,1
1,8,Dijkstra,"[1, 8]",234.0,1
1,8,A*,"[1, 8]",234.0,1
1,8,Bellman-Ford,"[1, 8]",234.0,1
1,9,BFS,"[1, 8, 7, 9]",929.0,3
1,9,DFS,"[1, 8, 7, 2, 4, 14, 5, 11, 3, 9]",3754.0,9
1,9,Dijkstra,"[1, 12, 0, 10, 9]",648.0,4
1,9,A*,"[1, 8, 7, 9]",929.0,3
1,9,Bellman-Ford,"[1, 12, 0, 10, 9]",648.0,4
1,10,BFS,"[1, 8, 18, 10]",2058.0,3
1,10,DFS,"[1, 8, 7, 2, 4, 14, 5, 11, 3, 9, 12, 0, 10]",4234.0,12
1,10,Dijkstra,"[1, 12, 0, 10]",436.0,3
1,10,A*,"[1, 12, 0, 10]",436.0,3
1,10,Bellman-Ford,"[1, 12, 0, 10]",436.0,3
1,11,BFS,"[1, 8, 18, 11]",2342.0,3
1,11,DFS,"[1, 8, 7, 2, 4, 14, 5, 11]",3304.0,7
