source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",1027.0,1
0,1,DFS,"[0, 1]",1027.0,1
0,1,Dijkstra,"[0, 26, 79, 83, 31, 20, 98, 3, 89, 58, 27, 39, 88, 84, 80, 49, 2, 54, 96, 64, 47, 65, 45, 77, 73, 78, 14, 19, 56, 85, 70, 59, 57, 86, 51, 4, 34, 44, 35, 62, 25, 81, 48, 29, 97, 23, 33, 94, 41, 36, 13, 67, 87, 42, 18, 37, 61, 38, 5, 22, 75, 15, 6, 11, 92, 71, 50, 9, 52, 1]",-35689.0,69
0,1,A*,"[0, 26, 79, 83, 31, 52, 50, 9, 60, 3, 89, 58, 1]",-6281.0,12
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 2]",867.0,1
0,2,DFS,"[0, 1, 2]",1898.0,2
0,2,Dijkstra,"[0, 26, 79, 83, 31, 20, 98, 3, 89, 58, 27, 39, 88, 84, 80, 49, 2]",-9080.0,16
0,2,A*,"[0, 38, 78, 14, 19, 96, 49, 2]",-3957.0,7
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 3]",-222.0,1
0,3,DFS,"[0, 1, 2, 3]",1968.0,3
0,3,Dijkstra,"[0, 26, 79, 83, 31, 20, 98, 3]",-4137.0,7
0,3,A*,"[0, 26, 79, 83, 31, 6, 27, 39, 98, 3]",-4890.0,9
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 4]",-132.0,1
0,4,DFS,"[0, 1, 2, 3, 4]",2717.0,4
0,4,Dijkstra,"[0, 26, 79, 83, 31, 20, 98, 3, 89, 58, 27, 39, 88, 84, 80, 49, 2, 54, 96, 64, 47, 65, 45, 77, 73, 78, 14, 19, 56, 85, 70, 59, 57, 86, 51, 4]",-19138.0,35
0,4,A*,"[0, 4]",-132.0,1
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 5]",200.0,1
0,5,DFS,"[0, 1, 2, 3, 4, 5]",3703.0,5
0,5,Dijkstra,"[0, 26, 79, 83, 31, 20, 98, 3, 89, 58, 27, 39, 88, 84, 80, 49, 2, 54, 96, 64, 47, 65, 45, 77, 73, 78, 14, 19, 56, 85, 70, 59, 57, 86, 51, 4, 34, 44, 35, 62, 25, 81, 48, 29, 97, 23, 33, 94, 41, 36, 13, 67, 87, 42, 18, 37, 61, 38, 5]",-30371.0,58
0,5,A*,"[0, 26, 79, 5]",-1581.0,3
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 6]",-184.0,1
0,6,DFS,"[0, 1, 2, 3, 4, 5, 6]",4462.0,6
