source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",758.0,1
0,1,DFS,"[0, 1]",758.0,1
0,1,Dijkstra,"[0, 58, 1]",476.0,2
0,1,A*,"[0, 58, 1]",476.0,2
0,1,Bellman-Ford,"[0, 58, 1]",476.0,2
0,2,BFS,"[0, 2]",1117.0,1
0,2,DFS,"[0, 1, 2]",1840.0,2
0,2,Dijkstra,"[0, 70, 2]",947.0,2
0,2,A*,"[0, 70, 2]",947.0,2
0,2,Bellman-Ford,"[0, 70, 2]",947.0,2
0,3,BFS,"[0, 3]",419.0,1
0,3,DFS,"[0, 1, 2, 3]",2589.0,3
0,3,Dijkstra,"[0, 3]",419.0,1
0,3,A*,"[0, 3]",419.0,1
0,3,Bellman-Ford,"[0, 3]",419.0,1
0,4,BFS,"[0, 4]",653.0,1
0,4,DFS,"[0, 1, 2, 3, 4]",3566.0,4
0,4,Dijkstra,"[0, 4]",653.0,1
0,4,A*,"[0, 4]",653.0,1
0,4,Bellman-Ford,"[0, 4]",653.0,1
0,5,BFS,"[0, 5]",748.0,1
0,5,DFS,"[0, 1, 2, 3, 4, 5]",4492.0,5
0,5,Dijkstra,"[0, 39, 5]",744.0,2
0,5,A*,"[0, 39, 5]",744.0,2
0,5,Bellman-Ford,"[0, 39, 5]",744.0,2
0,6,BFS,"[0, 6]",471.0,1
0,6,DFS,"[0, 1, 2, 3, 4, 5, 7, 6]",6463.0,7
0,6,Dijkstra,"[0, 6]",471.0,1
0,6,A*,"[0, 6]",471.0,1
0,6,Bellman-Ford,"[0, 6]",471.0,1
0,7,BFS,"[0, 7]",731.0,1
0,7,DFS,"[0, 1, 2, 3, 4, 5, 7]",5587.0,6
0,7,Dijkstra,"[0, 70, 7]",607.0,2
0,7,A*,"[0, 70, 7]",607.0,2
0,7,Bellman-Ford,"[0, 70, 7]",607.0,2
0,8,BFS,"[0, 8]",495.0,1
0,8,DFS,"[0, 1, 2, 3, 4, 5, 7, 6, 8]",7481.0,8
0,8,Dijkstra,"[0, 8]",495.0,1
0,8,A*,"[0, 8]",495.0,1
0,8,Bellman-Ford,"[0, 8]",495.0,1
0,9,BFS,"[0, 9]",453.0,1
0,9,DFS,"[0, 1, 2, 3, 4, 5, 7, 6, 8, 10, 9]",8661.0,10
0,9,Dijkstra,"[0, 26, 9]",374.0,2
0,9,A*,"[0, 26, 9]",374.0,2
0,9,Bellman-Ford,"[0, 26, 9]",374.0,2
0,10,BFS,"[0, 10]",433.0,1
0,10,DFS,"[0, 1, 2, 3, 4, 5, 7, 6, 8, 10]",8166.0,9
0,10,Dijkstra,"[0, 10]",433.0,1
0,10,A*,"[0, 10]",433.0,1
0,10,Bellman-Ford,"[0, 10]",433.0,1
0,11,BFS,"[0, 11]",786.0,1
0,11,DFS,"[0, 1, 2, 3, 4, 5, 7, 6, 8, 10, 9, 11]",9170.0,11
0,11,Dijkstra,"[0, 89, 11]",729.0,2
0,11,A*,"[0, 89, 11]",729.0,2
0,11,Bellman-Ford,"[0, 89, 11]",729.0,2
0,12,BFS,"[0, 12]",344.0,1
0,12,DFS,"[0, 1, 2, 3, 4, 5, 7, 6, 8, 10, 9, 11, 12]",10184.0,12
0,12,Dijkstra,"[0, 12]",344.0,1
0,12,A*,"[0, 12]",344.0,1
0,12,Bellman-Ford,"[0, 12]",344.0,1
0,13,BFS,"[0, 13]",903.0,1
0,13,DFS,"[0, 1, 2, 3, 4, 5, 7, 6, 8, 10, 9, 11, 12, 13]",11002.0,13
0,13,Dijkstra,"[0, 66, 13]",733.0,2
0,13,A*,"[0, 66, 13]",733.0,2
0,13,Bellman-Ford,"[0, 66, 13]",733.0,2
0,14,BFS,"[0, 14]",1024.0,1
0,14,DFS,"[0, 1, 2, 3, 4, 5, 7, 6, 8, 10, 9, 11, 12, 13, 14]",12161.0,14
0,14,Dijkstra,"[0, 38, 78, 14]",760.0,3
0,14,A*,"[0, 38, 78, 14]",760.0,3
0,14,Bellman-Ford,"[0, 38, 78, 14]",760.0,3
0,15,BFS,"[0, 15]",899.0,1
